corpus,detector,predicted_detector
blog_authorship,lastde__qwen2_5_0_5b_fp32,openai_roberta_base__gpt2_legacy
blog_authorship,logrank__qwen2_5_0_5b_fp32,logrank__qwen2_5_0_5b_fp32
blog_authorship,mage_longformer__paper,mage_longformer__paper
blog_authorship,openai_roberta_base__gpt2_legacy,mage_longformer__paper
blog_authorship,radar_roberta_large__vicuna7b_training,radar_roberta_large__vicuna7b_training
gutenberg,lastde__qwen2_5_0_5b_fp32,openai_roberta_base__gpt2_legacy
gutenberg,logrank__qwen2_5_0_5b_fp32,logrank__qwen2_5_0_5b_fp32
gutenberg,mage_longformer__paper,mage_longformer__paper
gutenberg,openai_roberta_base__gpt2_legacy,logrank__qwen2_5_0_5b_fp32
gutenberg,radar_roberta_large__vicuna7b_training,radar_roberta_large__vicuna7b_training
stack_exchange,lastde__qwen2_5_0_5b_fp32,lastde__qwen2_5_0_5b_fp32
stack_exchange,logrank__qwen2_5_0_5b_fp32,lastde__qwen2_5_0_5b_fp32
stack_exchange,mage_longformer__paper,mage_longformer__paper
stack_exchange,openai_roberta_base__gpt2_legacy,openai_roberta_base__gpt2_legacy
stack_exchange,radar_roberta_large__vicuna7b_training,radar_roberta_large__vicuna7b_training
asap_aes,lastde__qwen2_5_0_5b_fp32,lastde__qwen2_5_0_5b_fp32
asap_aes,logrank__qwen2_5_0_5b_fp32,logrank__qwen2_5_0_5b_fp32
asap_aes,mage_longformer__paper,mage_longformer__paper
asap_aes,openai_roberta_base__gpt2_legacy,lastde__qwen2_5_0_5b_fp32
asap_aes,radar_roberta_large__vicuna7b_training,radar_roberta_large__vicuna7b_training
pmc,lastde__qwen2_5_0_5b_fp32,lastde__qwen2_5_0_5b_fp32
pmc,logrank__qwen2_5_0_5b_fp32,logrank__qwen2_5_0_5b_fp32
pmc,mage_longformer__paper,mage_longformer__paper
pmc,openai_roberta_base__gpt2_legacy,openai_roberta_base__gpt2_legacy
pmc,radar_roberta_large__vicuna7b_training,radar_roberta_large__vicuna7b_training
cnn_dailymail,lastde__qwen2_5_0_5b_fp32,logrank__qwen2_5_0_5b_fp32
cnn_dailymail,logrank__qwen2_5_0_5b_fp32,logrank__qwen2_5_0_5b_fp32
cnn_dailymail,mage_longformer__paper,mage_longformer__paper
cnn_dailymail,openai_roberta_base__gpt2_legacy,openai_roberta_base__gpt2_legacy
cnn_dailymail,radar_roberta_large__vicuna7b_training,radar_roberta_large__vicuna7b_training
govreport,lastde__qwen2_5_0_5b_fp32,logrank__qwen2_5_0_5b_fp32
govreport,logrank__qwen2_5_0_5b_fp32,logrank__qwen2_5_0_5b_fp32
govreport,mage_longformer__paper,mage_longformer__paper
govreport,openai_roberta_base__gpt2_legacy,openai_roberta_base__gpt2_legacy
govreport,radar_roberta_large__vicuna7b_training,radar_roberta_large__vicuna7b_training
wikitext_103,lastde__qwen2_5_0_5b_fp32,logrank__qwen2_5_0_5b_fp32
wikitext_103,logrank__qwen2_5_0_5b_fp32,logrank__qwen2_5_0_5b_fp32
wikitext_103,mage_longformer__paper,mage_longformer__paper
wikitext_103,openai_roberta_base__gpt2_legacy,radar_roberta_large__vicuna7b_training
wikitext_103,radar_roberta_large__vicuna7b_training,radar_roberta_large__vicuna7b_training
